都道府県名,region,米,米を除く耕種
北海道,Hokkaido,106700000000 ,431700000000 
青森県,Aomori,40500000000 ,178500000000 
岩手県,Iwate,46800000000 ,47700000000 
宮城県,Miyagi,63000000000 ,35400000000 
秋田県,Akita,85200000000 ,43900000000 
山形県,Yamagata,68900000000 ,129200000000 
福島県,Fukushima,58900000000 ,88000000000 
茨城県,Ibaraki,61100000000 ,232800000000 
栃木県,Tochigi,45800000000 ,99200000000 
群馬県,Gunma,12600000000 ,113000000000 
埼玉県,Saitama,26600000000 ,101400000000 
千葉県,Chiba,47200000000 ,197600000000 
東京都,Tokyo,100000000 ,20000000000 
神奈川県,Kanagawa,3000000000 ,49200000000 
新潟県,Niigata,131900000000 ,52300000000 
富山県,Toyama,38200000000 ,10300000000 
石川県,Ishikawa,23500000000 ,14800000000 
福井県,Fukui,23500000000 ,12000000000 
山梨県,Yamanashi,6100000000 ,101400000000 
長野県,Nagano,40200000000 ,202600000000 
岐阜県,Gifu,17400000000 ,53000000000 
静岡県,Shizuoka,16800000000 ,130900000000 
愛知県,Aichi,24400000000 ,194500000000 
三重県,Mie,23300000000 ,36500000000 
滋賀県,Shiga,30100000000 ,18400000000 
京都府,Kyoto,15600000000 ,36000000000 
大阪府,Osaka,5400000000 ,23400000000 
兵庫県,Hyogo,41200000000 ,54800000000 
奈良県,Nara,8900000000 ,23300000000 
和歌山県,Wakayama,6900000000 ,98400000000 
鳥取県,Tottori,12100000000 ,32000000000 
島根県,Shimane,16700000000 ,20200000000 
岡山県,Okayama,26600000000 ,56300000000 
広島県,Hiroshima,22900000000 ,47700000000 
山口県,Yamaguchi,18300000000 ,27300000000 
徳島県,Tokushima,9500000000 ,56400000000 
香川県,Kagawa,11300000000 ,35700000000 
愛媛県,Ehime,13400000000 ,81300000000 
高知県,Kochi,9700000000 ,88900000000 
福岡県,Fukuoka,32800000000 ,128000000000 
佐賀県,Saga,22900000000 ,71000000000 
長崎県,Nagasaki,9000000000 ,81600000000 
熊本県,Kumamoto,27700000000 ,189300000000 
大分県,Oita,17200000000 ,59200000000 
宮崎県,Miyazaki,14200000000 ,97700000000 
鹿児島県,Kagoshima,16900000000 ,139100000000 
沖縄県,Okinawa,400000000 ,47300000000 